Idiom_from_diff,Matched_Idiom,Similarity_Score
머리를 굴리다,머리굴리다,0.8333333333333334
멍석을 깔다,멍석을 깔다[펴다],0.75
멍석을 펴다,멍석을 깔다[펴다],0.75
메뚜기도 한철이다,메뚜기도 유월이 한철이다,0.8181818181818182
명함도 못 내밀다,명함도 못 들이다,0.7777777777777778
모르긴 몰라도,모르면 몰라도,0.8571428571428571
목에 핏대를 세우다,눈에 모를 세우다,0.7368421052631579
목을 매다,목을 걸다,0.8
목을 매달다,목을 걸다,0.7272727272727273
문자 쓰다,문자쓰다,0.8888888888888888
물이 좋다,물이 날다,0.8
물 먹이다,엿 먹이다,0.8
물을 흐리다,가문을 흐리다,0.7692307692307693
미역국을 먹다,미역국먹다,0.8333333333333334
미운 털이 박히다,고운 털이 박히다,0.8888888888888888
밑 빠진 독에 물 붓기,밑 빠진 독[가마/항아리]에 물 붓기,0.75
바가지를 긁다,바가지긁다,0.8333333333333334
바가지를 쓰다,똥바가지를 쓰다,0.9333333333333333
바닥이 나다,불이 나다,0.7272727272727273
바닥이 드러나다,바닥드러나다,0.8571428571428571
바람을 맞다,얼바람맞다,0.7272727272727273
바람을 피우다,바닥을 비우다,0.7142857142857143
발길을 끊다,길을 열다,0.7272727272727273
발길이 끊기다,발길이 무겁다,0.7142857142857143
발 등에 불이 떨어지다,발등에 불떨어지다,0.8571428571428571
발 디딜 틈이 없다,발디딜 틈이 없다,0.9473684210526315
발목 잡히다,발목잡히다,0.9090909090909091
발이 넓다,낯이 넓다,0.8
발이 묶이다,발묶이다,0.8
밤낮 가리지 않고,밤낮을 가리지 않다,0.8421052631578947
배꼽이 빠지다,배꼽빠지다,0.8333333333333334
번지수 잘못 찾다,번지수를 잘못 찾다[짚다],0.782608695652174
법 없이도 살 사람,법 없이 살다,0.7058823529411765
벼는 익을수록 고개를 숙인다,벼 이삭은 익을수록 고개를 숙인다,0.8484848484848485
보는 눈이 많다,보는 눈이 있다,0.875
보는 눈이 없다,보는 눈이 있다,0.875
보자 보자 하니까,보자 보자 하다,0.8235294117647058
불난 집에 부채질하다,불난 집에 부채질한다,0.9090909090909091
비행기 태우다,비행기태우다,0.9230769230769231
빈 수레가 요란하다,빈 수레가[달구지가] 요란하다,0.7692307692307693
삼천포로 빠지다,뒤로 빠지다,0.7142857142857143
상다리가 부러지다,허리가 부러지다,0.8235294117647058
상다리가 휘어지다,상다리가 부러지다[휘어지다],0.75
생각이 짧다,글이 짧다,0.7272727272727273
설마가 사람 잡는다,설마가 사람 죽인다[잡는다],0.8
세월 앞에 장사 없다,병에는 장사 없다,0.7
소 닭 보듯 하다,소 닭 보듯,0.8
소설 쓰다,소설쓰다,0.8888888888888888
손발이 오그라들다,간이 오그라들다,0.8235294117647058
손발이 잘 맞다,손발이 따로 놀다,0.7058823529411765
손에 물 한 방울 안 묻히다,손에 물 한 방울 묻히지 않고 살다,0.7647058823529411
손에 안 잡히다,손에 잡히다,0.8571428571428571
손 놓다,손을 놓다,0.8888888888888888
손 벌리다,손벌리다,0.8888888888888888
손 떼다,손떼다,0.8571428571428571
손 털다,빈손 털다,0.8888888888888888
손이 맵다,손이 걸다,0.8
손이 발이 되도록 빌다,손이 발이 되도록[되게] 빌다,0.8571428571428571
손이 크다,손이 걸다,0.8
쇠뿔도 단김에 빼라,쇠뿔도 단김에 빼랬다[빼라],0.8
시장이 반찬이다,시장이 반찬,0.8571428571428571
식은 죽 먹기,식은 죽 먹듯[먹기],0.7777777777777778
십 년 묵은 체증이 내려가다,십 년 묵은 체증이 내리다,0.896551724137931
십 년이면 강산도 변한다,십 년이면 강산[산천]도 변한다,0.8666666666666667
싹수가 노랗다,싹수노랗다,0.8333333333333334
싼 게 비지떡,값싼 비지떡,0.7692307692307693
아니나 다를까,아니나 다를까[다르랴],0.7368421052631579
아 다르고 어 다르다,아 해 다르고 어 해 다르다,0.8461538461538461
애가 타다,가슴이 타다,0.7272727272727273
애를 태우다,가마를 태우다,0.7692307692307693
애간장이 녹다,간장이 녹다,0.9230769230769231
양다리 걸치다,한 다리 걸치다,0.8
얼굴에 철판을 깔다,철판을 깔다,0.75
엎드려 절 받기,엎드려 절받기,0.9333333333333333
열 길 물속은 알아도 한 길 사람 속은 모른다,열 길 물속은 알아도 한 길 사람의 속은 모른다,0.9803921568627451
열 번 찍어 안 넘어가는 나무 없다,열 번 찍어 아니 넘어가는 나무 없다,0.9230769230769231
열 받다,열에 받치다,0.8
오지랖이 넓다,오지랖넓다,0.8333333333333334
옷을 벗다,짐을 벗다,0.8
옷이 날개다,옷이 날개라,0.8333333333333334
우물 안 개구리,우물 안 개구리[고기],0.8
웃는 얼굴에 침 뱉으랴,웃는 낯에 침 뱉으랴,0.8695652173913043
